Number_of_Referrals,Tenure_in_Months,Avg_Monthly_Long_Distance_Charges,Avg_Monthly_GB_Download,Monthly_Charge,Total_Regular_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Age,Number_of_Dependents,Zip_Code,Population,CLTV,Total_Customer_Svc_Requests,Product/Service_Issues_Reported,Customer_Satisfaction,Referred_a_Friend_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone_Service_Yes,Multiple_Lines_Yes,Internet_Service_Yes,Internet_Type_DSL,Internet_Type_Fiber Optic,Internet_Type_None,Online_Security_Yes,Online_Backup_Yes,Device_Protection_Plan_Yes,Premium_Tech_Support_Yes,Streaming_TV_Yes,Streaming_Movies_Yes,Streaming_Music_Yes,Unlimited_Data_Yes,Contract_One Year,Contract_Two Year,Paperless_Billing_Yes,Payment_Method_Credit Card,Payment_Method_Mailed Check,Gender_Male,Under_30_Yes,Senior_Citizen_Yes,Married_Yes,Dependents_Yes,Churn_Category_Competitor,Churn_Category_Dissatisfaction,Churn_Category_Other,Churn_Category_Price
1,50,31.56,4,98.852,4888.7,0.0,0.0,1578.0,67,0,91384,22177,5863,1,2,2.993293091884641,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
0,48,0.0,48,45.55,2108.35,0.0,1012.0,0.0,26,2,92065,33104,4106,4,1,3.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0,65,41.74,17,84.85,5459.2,0.0,0.0,2713.1,57,0,93725,21010,5434,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,9,0.0,52,24.6,190.1,0.0,0.0,0.0,24,0,95365,4150,2323,0,0,2.993293091884641,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
2,71,40.63,69,65.15,4681.75,4.7,3230.0,2884.73,29,0,92801,60553,4384,1,0,2.993293091884641,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
3,71,0.0,8,58.65,4145.25,0.0,332.0,0.0,31,0,94602,28900,4151,1,0,4.0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,1,4.53,28,75.1,75.1,0.0,0.0,4.53,61,0,92347,1933,4120,2,0,2.993293091884641,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6,10,37.08,7,67.8,653.15,0.0,0.0,370.8,62,0,96035,3357,2709,1,0,5.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
7,65,19.58,26,107.45,7047.5,0.0,1832.0,1272.6999999999998,65,3,91755,26933,6211,2,0,4.0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0
0,5,41.93,0,19.65,92.05,0.0,0.0,209.65,62,0,96021,13840,2878,2,0,3.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10,16,7.14,0,19.7,301.55,0.0,0.0,114.24,44,2,90046,49839,5293,2,0,3.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
5,43,48.1,51,71.9,3173.35,0.0,161.84,2068.3,24,0,91303,23519,4106,1,0,3.0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0
0,30,47.06,24,55.65,1653.85,0.0,39.69,1411.8000000000002,35,0,93563,413,5445,0,0,2.993293091884641,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
0,61,32.05,0,25.0,1498.35,0.0,0.0,1955.05,62,1,92405,24644,4673,0,0,2.993293091884641,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,17,22.61,19,83.55,1329.15,0.0,25.25,384.37,60,0,92067,7615,5564,1,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4,27.57,30,82.16,303.15,0.0,0.0,110.28,61,0,95625,171,2085,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,43.06,9,83.4,83.4,0.0,0.0,43.06,49,0,94555,33883,5960,2,0,2.993293091884641,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,6,34.42,42,89.75,552.65,0.0,232.0,206.52,23,0,94920,13065,2370,1,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
10,67,0.0,6,50.95,3521.7,0.0,211.0,0.0,39,0,96104,857,6395,0,0,2.993293091884641,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,64,44.31,4,115.1,7334.05,0.0,29.34,2835.84,51,0,93930,14477,5213,0,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,11,1.92,0,20.6,233.9,0.0,0.0,21.12,21,0,91010,27414,4047,3,0,3.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
2,38,13.67,30,78.95,2862.55,0.0,859.0,519.46,56,3,95726,8577,2125,1,1,5.0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
0,1,48.95,25,77.168,74.2,0.0,0.0,48.95,70,0,92570,36817,4684,6,1,2.993293091884641,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,3,13.72,26,84.3,235.05,0.0,61.0,41.16,46,0,95321,3680,5828,1,0,5.0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,41,20.41,59,109.1,4454.25,0.0,2628.0,836.8100000000001,28,2,95923,86,4854,1,0,5.0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
7,44,32.22,0,24.85,1013.6,0.0,0.0,1417.6799999999998,44,0,92840,50641,5331,1,0,2.993293091884641,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
4,40,3.52,56,81.2,3292.3,0.0,0.0,140.8,55,3,91770,61623,5370,1,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
0,36,44.87,8,76.35,2606.35,0.0,0.0,1615.32,33,0,96124,322,4771,1,1,5.0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,14.65,15,55.05,55.05,0.0,0.0,14.65,59,0,92314,9899,2962,1,0,2.993293091884641,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,1,26.12,0,20.5,20.5,0.0,0.0,26.12,24,0,95315,10159,3820,2,0,2.993293091884641,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,72,38.3,3,97.95,7114.25,0.0,213.0,2757.6,43,0,95469,1884,4256,1,0,2.993293091884641,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
0,17,33.68,14,55.5,934.15,0.0,131.0,572.56,64,0,91354,17846,3190,2,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
0,72,2.25,16,101.3,7261.25,0.0,0.0,162.0,32,0,91942,24005,5513,0,0,2.993293091884641,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,10,4.16,0,24.4,253.9,0.0,0.0,41.6,27,1,96134,2595,4458,1,0,5.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0
0,3,49.63,26,80.35,253.8,0.0,66.0,148.89,60,0,93306,53481,4203,0,0,2.993293091884641,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,11.08,14,72.592,69.8,0.0,0.0,11.08,34,0,95984,73,2123,3,1,3.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2,72,38.44,16,108.5,8003.8,0.0,1281.0,2767.68,50,0,92399,41575,6288,2,0,2.993293091884641,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
